variant_id,answer_id,original_question,colloquial_variant,category,subcategory,review_status
v_3_12,3,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,پيريڊس جا ڏينهن نارملي ڪيترا هجڻ گهرجن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_3_13,3,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,هڪ دفعي پيريڊس اچڻ سان رت ڪيترا ڏينهن جاري رهندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_3_14,3,هڪ عرصو عام طور تي ڪيترا ڏينهن گذري ٿو؟,مهيني جا ڏينهن عام طور تي ڪيستائين هلندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_4_15,4,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,هڪ پيريڊس ۾ لڳ ڀڳ ڪيترو رت ضايع ٿئي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_4_16,4,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,مهيني دوران پوري چڪر ۾ ڪيترو رت نڪري ويندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_4_17,4,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,حيض جي ڏينهن ۾ عورت جو ڪيترو رت وهي ويندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_4_18,4,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,هڪ ئي پيريڊ ۾ رت جي نڪرڻ جي عام مقدار ڪيتري هوندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_4_19,4,هڪ دور ۾ توهان ڪيترو رت وڃائي ڇڏيو آهي؟,پيريڊس جي ڏينهن ۾ رت جو ڪيترو نقصان ٿيندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_5_20,5,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ڇا هر مهيني پيريڊس جي ڏينهن ۾ فرق اچڻ نارمل ڳالهه آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_5_21,5,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ڇا حيض جو وقت يا ڏينهن مهيني به مهيني بدلجڻ عام آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_5_22,5,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,جيڪڏهن پيريڊس جو چڪر هر مهيني هڪ جهڙو نه رهي ته ڇا اها نارمل ڳالهه آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_5_23,5,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ڇا مهيني واري چڪر جو هر دفعي مٽجڻ طبعي ڳالهه آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_5_24,5,ڇا اهو عام آهي چڪر جي ڊيگهه لاءِ مهيني کان مهيني تائين؟,ڇا پيريڊس جو وقت هر مهيني اڳي پوئتي ٿيڻ عام سمجهيو ويندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_6_25,6,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,پيريڊس جي چڪر جا اهم مرحلا ڪهڙا هجڻ چاهين؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_6_26,6,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,حيض جي پوري چڪر وارا خاص حصا يا فيزز ڪهڙا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_6_27,6,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,مهيني واري چڪر ۾ ڪهڙا ڪهڙا مکيه دور ايندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_6_28,6,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,حيض واري سلسلي جا وڏا مرحلا ڪهڙا ڪهڙا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_6_29,6,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,پيريڊس جي چڪر جا مختلف اسٽيج يا مرحلا ڇا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_7_30,7,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ڪهڙا هارمون پيريڊس جي چڪر کي هلاين يا ڪنٽرول ڪن ٿا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_7_31,7,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,حيض واري مهيني نظام کي ڪهڙا باڊي هارمونز سنڀالين ٿا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_7_32,7,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,پيريڊس کي قاعدي ۾ رکڻ لاءِ ڪهڙا هارمونز ذميوار آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_7_33,7,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ڪهڙن هارمونن جي ڪري عورتن جو مهينيو يا حيض ڪنٽرول ٿئي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_7_34,7,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,حيض جي چڪر جي توازن لاءِ ڪهڙا هارمونز ڪم ڪن ٿا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_8_35,8,روشني چڪر ۾ اووليشن ٿورڙي؟,پيريڊس جي چڪر ۾ اووليشن ڪڏهن يا ڪهڙي مهل ٿيندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_8_36,8,روشني چڪر ۾ اووليشن ٿورڙي؟,مهيني واري چڪر ۾ بيضو ٺاهڻ (اووليشن) جو عمل ڪڏهن ٿئي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_8_37,8,روشني چڪر ۾ اووليشن ٿورڙي؟,حيض واري چڪر جي ڪهڙي ڏينهن ۾ اووليشن ٿيندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_8_38,8,روشني چڪر ۾ اووليشن ٿورڙي؟,چڪر جي وچ ۾ اووليشن واري فيز ڪڏهن ايندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_8_39,8,روشني چڪر ۾ اووليشن ٿورڙي؟,پيريڊس چڪر دوران اووليشن جي وقت بابت ڪيئن خبر پوي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_9_40,9,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ڇا حمل صرف مخصوص ڏينهن ۾ ئي ٺهي سگهي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_9_41,9,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ڇا اووليشن جي ڏينهن ۾ ئي حمل بيهڻ ممڪن هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_9_42,9,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ڇا پريگننٽ ٿيڻ لاءِ چڪر ۾ صرف ڪجهه خاص ڏينهن ئي هوندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_9_43,9,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ڇا عورت صرف اووليشن وقت ئي پيٽ سان ٿي سگهي ٿي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_9_44,9,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ڇا چڪر جي خاص ڏينهن کانسواءِ حمل نٿو ترسي سگهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_10_45,10,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,پيريڊس جي رت جو عام يا نارمل رنگ ڪهڙو هئڻ گهرجي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_10_46,10,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,حيض دوران نڪرندڙ رت جو طبيعي رنگ ڪهڙو هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_10_47,10,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,پيريڊس ۾ رت جو رنگ عام طور تي ڪهڙي طرح جو هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_10_48,10,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,نارملي مهيني واري رت جو رنگ ڪيئن هجڻ گهرجي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_10_49,10,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,حيض جو رت ڪهڙي رنگ جو هجي ته اهو نارمل سمجهيو ويندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_11_0,11,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ڇا حيض دوران رت جا ننڍا ڳوڙها نڪرڻ نارمل ڳالهه آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_11_1,11,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,پيرئڊس ۾ ننڍڙيون ڳوڙهيون پئجي اچڻ ڇا عام آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_11_2,11,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ڇا پيرئڊ ۾ رت جا ڳوڙها اچڻ نارمل آهي يا ڪو مسئلو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_11_3,11,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ايمس ۾ ننڍا ننڍا رت جا ٽڪرا اچڻ ڇا نارمل چئبو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_11_4,11,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ڇا پيرئڊس جي ڏينهن ۾ رت جي ڄمي وڃڻ جو اچڻ نارمل آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_12_5,12,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,پيرئڊس جي رت مان ڪڏهن ڪڏهن مختلف بوءِ ڇو ايندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_12_6,12,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,ايمس جي ڏينهن ۾ رت جي بوءِ بدلجي ڇو ويندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_12_7,12,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,ڇو ڪڏهن پيرئڊس ۾ رت مان عام کان مختلف بوءِ اچڻ لڳندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_12_8,12,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,حيض دوران مختلف بوءِ اچڻ جو ڇا سبب ٿي سگهي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_12_9,12,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,پيرئڊس دوران رت مان معمول کان هٽي ڪري بوءِ ڇو ايندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_13_10,13,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,ڇا ٽينشن يا اسٽريس جي ڪري پيرئڊس ليٽ ٿي سگهن ٿا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_13_11,13,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,ڇا ذھني دٻاءُ پيرئڊس جي تاريخ کي تبديل ڪري سگهي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_13_12,13,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,ٽينشن وٺڻ سان ڇا حيض ۾ دير يا ڦيرڦار ٿي سگهي ٿي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_13_13,13,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,ڇا زياده اسٽريس جي ڪري ايمس جي چڪر تي اثر پوي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_13_14,13,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,ڇا ذھني دٻاءُ پيرئڊس کي اڳپوئتي ڪري سگهي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_14_15,14,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,ڇا سفر ڪرڻ سان يا روزاني روٽين بدلجڻ سان پيرئڊس تي اثر پوي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_14_16,14,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,سفر يا روٽين ۾ تبديلي ڇا پيرئڊس جي سائيڪل کي متاثر ڪري سگهي ٿي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_14_17,14,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,ڇا پري سفر ڪرڻ سان ايمس جي تاريخون بدلجي وينديون آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_14_18,14,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,ڇا روٽين جي تبديلي حيض جي چڪر کي متأثر ڪندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_14_19,14,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,سفر ۾ هجڻ سان ڇا پيرئڊس جو وقت اڳپوئتي ٿي سگهي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_15_20,15,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,ڇا پيرئڊس اچڻ کان اڳ ڪائي به تڪليف يا علامت نه هجڻ نارمل آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_15_21,15,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,پيرئڊس کان پهريان ڪو به درد يا نشاني نه هجڻ ڇا نارمل ڳالهه آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_15_22,15,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,ڇا ايمس اچڻ کان اڳ علامتون نه هجڻ عام ڳالهه آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_15_23,15,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,حيض کان اڳ ڪا به علامت ظاهر نه ٿئي ته ڇا اهو نارمل آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_15_24,15,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,ڇا پيرئڊس کان اڳ ڪائي به علامت نه هجڻ به نارمل ئي هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_16_25,16,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,غير منظم يا اڻپورا پيرئڊس ڪنهن کي چئبو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_16_26,16,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,پيرئڊس جو بي ترتيب هجڻ يا اريگيولر هجڻ ڇا هوندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_16_27,16,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,ڪهڙي حالت ۾ چئبو ته ايمس اريگيولر يا غير باقاعده آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_16_28,16,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,غير منظم حيض واري چڪر مان ڇا مراد آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_16_29,16,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,پيرئڊس اريگيولر آهن، اها ڳالهه ڪيئن خبر پوندي آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_17_30,17,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,پهريون دفعو پيرئڊس شروع ٿيڻ کان پوءِ اهي ڪڏهن تائين باقاعده ٿي ويندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_17_31,17,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,شروع واري ڏينهن کان پوءِ پيرئڊس کي ريگيولر ٿيڻ ۾ ڪيترو وقت لڳندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_17_32,17,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,نئون پيرئڊس شروع ٿين ته اهي ڪيترن مهينن يا سالن ۾ سيٽ ٿيندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_17_33,17,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,شروعاتي حيض کان پوءِ چڪر جو باقاعده ٿيڻ ۾ ڪيترو ٽائيم لڳندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_17_34,17,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,انياڻين کي ايمس شروع ٿيڻ کان پوءِ اهي ڪيستائين معمول تي ايندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_18_35,18,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,ڇا وزن وڌڻ يا گھٽجڻ سان پيرئڊس جي سائيڪل تي اثر پوي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_18_36,18,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,جسم جي وزن ۾ تبديلي ڇا پيرئڊس کي غير منظم ڪري سگهي ٿي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_18_37,18,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,ڇا وزن گهٽجڻ يا وڌڻ جي ڪري ايمس جون تاريخون بدلجي وينديون آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_18_38,18,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,وزن جي تبديلي جو حيض جي چڪر تي ڇا اثر پوي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_18_39,18,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,ڇا باڊي ويٽ چينج ٿيڻ سان پيرئڊس اڳپوئتي ٿي سگهن ٿا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_19_40,19,ڇا مشق دورن کي متاثر ڪري ٿو؟,ڇا ورزش يا ائڪسرڪسائيز ڪرڻ سان پيرئڊس تي اثر پوي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_19_41,19,ڇا مشق دورن کي متاثر ڪري ٿو؟,ڇا ڪثرت ڪرڻ سان پيرئڊس جي سائيڪل تبديل ٿي سگهي ٿي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_19_42,19,ڇا مشق دورن کي متاثر ڪري ٿو؟,ورزش ڪرڻ سان ايمس تي ڇا اثر پوي ٿو؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_19_43,19,ڇا مشق دورن کي متاثر ڪري ٿو؟,ڇا زياده ورزش ڪرڻ پيرئڊس کي متاثر ڪري سگهي ٿي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_19_44,19,ڇا مشق دورن کي متاثر ڪري ٿو؟,ائڪسرڪسائيز ڪرڻ سان حيض جي ڏينهن تي ڪو اثر پوي ٿو ڇا؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_20_45,20,ڇا آهي سراسري عمر جي دورن کي رجونورتي کان اڳ باقاعده ٿيڻ بند ڪيو وڃي؟,مينوپوز (حيض بند ٿيڻ) کان اڳ ڪهڙي سراسري عمر ۾ پيرئڊس اريگيولر ٿيڻ شروع ٿيندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_20_46,20,ڇا آهي سراسري عمر جي دورن کي رجونورتي کان اڳ باقاعده ٿيڻ بند ڪيو وڃي؟,حيض بند ٿيڻ واري عمر کان پهريان پيرئڊس جو باقاعده نه رهڻ ڪهڙي عمر ۾ ٿيندو آهي؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
v_20_47,20,ڇا آهي سراسري عمر جي دورن کي رجونورتي کان اڳ باقاعده ٿيڻ بند ڪيو وڃي؟,مينوپوز کان اڳ پيرئڊس ڪهڙي سراسري عمر ۾ غير منظم ٿيڻ لڳندا آهن؟,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,approved
