variant_id,source_kb_id,category,subcategory,original_question,variant_question,review_status,review_notes
v12,6,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,حيض جي چڪر جا مکيه مرحلو ڇا آهن؟,ماهواري جو چڪر ڪهڙن حصن ۾ ورهايل آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v13,7,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ماهواري کي ڪهڙا هارمون ڪنٽرول ڪن ٿا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v14,7,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڪهڙا هارمونز حيض واري چڪر کي ڪنٽرول ڪن ٿا؟,ماهواري جي پويان ڪهڙا هارمون ڪم ڪن ٿا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v15,8,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,روشني چڪر ۾ اووليشن ٿورڙي؟,ماهواري جي چڪر ۾ اووليشن ڪڏهن ٿيندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v16,8,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,روشني چڪر ۾ اووليشن ٿورڙي؟,اووليشن ماهواري جي ڪهڙي حصي ۾ ٿئي ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v17,9,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ڇا حمل صرف مخصوص ڏينهن ۾ ئي رهي سگهي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v18,9,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا توهان توهان جي حملن کي صرف حاصل ڪري سگهو ٿا ڇو ته؟,ماهواري جي ڪهڙن ڏينهن ۾ حمل جو خطرو وڌيڪ هوندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v19,10,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,ماهواري جي رت جو رنگ عام طور ڪهڙو هوندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v20,10,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عام طور تي رت جو رنگ ڪهڙو هجڻ گهرجي؟,ماهواري وقت رت جو رنگ ڪيئن هجڻ گهرجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v21,11,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ماهواري ۾ ننڍڙا ڳنڍا رت سان گڏ اچن ته ڇا اهو عام آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v22,11,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته هڪ عرصي دوران ننڍڙن کلٽن جو گذرڻ؟,ماهواري وقت رت ۾ ننڍڙا ٽڪر ايندا آهن، اهو ٺيڪ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v23,12,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,ماهواري ۾ بوءِ عام کان مختلف ڇو ٿيندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v24,12,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,عرصو ڪڏهن ڪڏهن معمول کان مختلف بوءِ ڇو ٿا؟,ماهواري وقت بوءِ بدلجي وڃي ته ان جو ڪارڻ ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v25,13,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,ڇا ذهني دٻاء سبب ماهواري دير سان اچي سگهي ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v26,13,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا دٻاء دير ڪري سگھي ٿو يا مدت تبديل ڪري سگھي ٿو؟,پريشاني هجڻ ڪري ماهواري جي تاريخ بدلجي سگهي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v27,14,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,سفر ڪرڻ سان ماهواري تي اثر پوي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v28,14,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا سفر ڪرڻ يا معمول ۾ تبديلي حيض واري چڪر کي متاثر ڪري ٿي؟,روزمره جي معمول ۾ تبديلي ماهواري کي متاثر ڪري سگهي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v29,15,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,ماهواري کان اڳ ڪي به نشانيون محسوس نه ٿين ته اهو ٺيڪ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v30,15,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته ڪنهن دور کان اڳ علامتون نه آهن؟,ڪجهه عورتن کي ماهواري کان اڳ ڪا به علامت محسوس نه ٿيندي آهي، اهو عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v31,16,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,ماهواري بي ترتيب هجي ته اهو ڪيئن سمجهجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v32,16,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا هڪ غير منظم مدت سمجهيو ويندو آهي؟,بي قاعدي ماهواري کي ڪهڙي حالت ۾ چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v33,17,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,پهرين ماهواري کان پوءِ ترتيب ۾ اچڻ ۾ ڪيترو وقت لڳي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v34,17,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,شروعاتي دورن کان پوءِ ڪيترو جلدي اهي باقاعده ٿي ويندا آهن؟,شروع واريون ماهواريون بي ترتيب هجن ته ڪيترن مهينن ۾ ٺيڪ ٿي وينديون آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v35,18,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,وزن گھٽجڻ يا وڌڻ سان ماهواري تي اثر پوي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v36,18,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا جسم جي وزن ۾ تبديليون حيض واري چڪر کي متاثر ڪري سگھن ٿيون؟,جسم جو وزن بدلجڻ ڪري ماهواري ۾ فرق اچي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v37,19,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا مشق دورن کي متاثر ڪري ٿو؟,ورزش ڪرڻ سان ماهواري تي اثر پوي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v38,19,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا مشق دورن کي متاثر ڪري ٿو؟,گھڻي ورزش ماهواري کي ڪيئن متاثر ڪري ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v39,20,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا آهي سراسري عمر جي دورن کي رجونورتي کان اڳ باقاعده ٿيڻ بند ڪيو وڃي؟,عام طور ڪهڙي عمر ۾ ماهواري بلڪل بند ٿي ويندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v40,20,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا آهي سراسري عمر جي دورن کي رجونورتي کان اڳ باقاعده ٿيڻ بند ڪيو وڃي؟,رجونورتي کان اڳ ماهواري ڪهڙي عمر ۾ بي ترتيب ٿيڻ شروع ٿئي ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v41,21,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا دورن جي وچ ۾ ڏسڻ هميشه هڪ ڳڻتي آهي؟,ٻن ماهوارين جي وچ ۾ رت اچڻ خطرناڪ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v42,21,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا دورن جي وچ ۾ ڏسڻ هميشه هڪ ڳڻتي آهي؟,ماهواري نه هجي ۽ رت جا ڪجهه دز اچن ته اهو ڳڻتي جي ڳالھ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v43,22,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا ٿڃ پيارڻ سان متاثر ٿي سگھي ٿو جڏهن ٻار جي ڄمڻ کان پوء دور واپس اچي؟,ٻار کي ٿڃ پياريندڙ مائرن جي ماهواري واپس اچڻ ۾ دير ٿئي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v44,22,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا ٿڃ پيارڻ سان متاثر ٿي سگھي ٿو جڏهن ٻار جي ڄمڻ کان پوء دور واپس اچي؟,ٿڃ پيارڻ سبب ماهواري ايندي آهي يا رڪجي ويندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v45,23,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا عرصو عام طور تي ساڳئي وقت هر چڪر ۾ ٿين ٿا؟,ماهواري هر مهيني ساڳي تاريخ تي اچڻ ضروري آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v46,23,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا عرصو عام طور تي ساڳئي وقت هر چڪر ۾ ٿين ٿا؟,ڇا ماهواري جي تاريخ هر مهيني ساڳي رهي ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v47,24,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا سمجهيو ويندو آهي 'مختصر' چڪر؟,ننڍو ماهواري چڪر ڪهڙي کي چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v48,24,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا سمجهيو ويندو آهي 'مختصر' چڪر؟,ڪيترن ڏينهن جي چڪر کي 'مختصر' سڏبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v49,25,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا سمجهيو ويندو آهي 'ڊگهي' چڪر؟,وڏو (ڊگهو) ماهواري چڪر ڪهڙي کي چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v50,25,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا سمجهيو ويندو آهي 'ڊگهي' چڪر؟,ڪيترن ڏينهن جي چڪر کي 'ڊگهو' سمجهيو ويندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v51,26,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا پيدائش تي ڪنٽرول حيض واري چڪر کي تبديل ڪري سگهي ٿو؟,خاندان جي منصوبابندي واريون گوريون کائڻ سان ماهواري بدلجي سگهي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v52,26,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا پيدائش تي ڪنٽرول حيض واري چڪر کي تبديل ڪري سگهي ٿو؟,ڪنٽرول جون دوائون ماهواري جي چڪر کي ڪيئن متاثر ڪن ٿيون؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v53,27,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته هڪ دوري کان اڳ وڌيڪ ٿڪل محسوس ڪيو وڃي؟,ماهواري کان اڳ تمام گھڻو ٿڪ محسوس ٿئي ته اهو عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v54,27,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته هڪ دوري کان اڳ وڌيڪ ٿڪل محسوس ڪيو وڃي؟,ماهواري کان پهريان بدن ۾ سستي ايندي آهي، اهو معمول جي ڳالھ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v55,28,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,دور ۽ اسپاٽنگ جي وچ ۾ ڇا فرق آهي؟,ماهواري ۽ ٿورن دز (اسپاٽنگ) ۾ ڇا فرق آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v56,28,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,دور ۽ اسپاٽنگ جي وچ ۾ ڇا فرق آهي؟,پوري ماهواري ۽ رڳو ٿورو رت اچڻ ۾ ڇا فرق آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v57,29,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا حيض واري چڪر جسم جي حرارت کي متاثر ڪري ٿو؟,ماهواري جي چڪر سبب بدن جي گرمي بدلجي سگهي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v58,29,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا حيض واري چڪر جسم جي حرارت کي متاثر ڪري ٿو؟,ماهواري دوران جسم جو گرمي پد مٿي هيٺ ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v59,30,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا هڪ نئين دوا شروع ڪرڻ کان پوء دور تبديل ٿي سگهي ٿو؟,نئين دوا کائڻ شروع ڪرڻ سان ماهواري ۾ فرق اچي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v60,30,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا هڪ نئين دوا شروع ڪرڻ کان پوء دور تبديل ٿي سگهي ٿو؟,ڪا نئين دوا استعمال ڪرڻ سبب ماهواري وقت تي نه اچي ته ڇا اهو ٿي سگهي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v61,31,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇو ڪجهه مهينا دور جي علامات جي لحاظ کان مختلف محسوس ڪندا آهن؟,ڪجهه مهينن ۾ ماهواري جون علامتون مختلف ڇو محسوس ٿينديون آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v62,31,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇو ڪجهه مهينا دور جي علامات جي لحاظ کان مختلف محسوس ڪندا آهن؟,هر مهيني ماهواري جو احساس هڪجهڙو ڇو نه هوندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v63,32,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته ڪڏهن ڪڏهن حمل جي بغير ڪنهن دور کي ڇڏي ڏيو؟,حامل نه هجڻ باوجود ڪڏهن ماهواري نه اچي ته اهو عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v64,32,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا اهو عام آهي ته ڪڏهن ڪڏهن حمل جي بغير ڪنهن دور کي ڇڏي ڏيو؟,بغير حمل جي ڪڏهن ڪا ماهواري ڇُٽي وڃي ته ان جو ڪارڻ ڪهڙو ٿي سگهي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v65,33,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,مجموعي طور تي 'عام' حيض جي وهڪري جي طور تي ڇا شمار ٿئي ٿو؟,ماهواري جي رت جي وهڪري کي 'عام' ڪڏهن چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v66,33,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,مجموعي طور تي 'عام' حيض جي وهڪري جي طور تي ڇا شمار ٿئي ٿو؟,عام ماهواري جو وهڪرو ڪيترو هجڻ گهرجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v67,34,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا حيض واري چڪر کي رت جي وهڪري کان سواءِ جسم جي نشانين کي استعمال ڪندي ٽريڪ ڪري سگهجي ٿو؟,رت اچڻ کان سواءِ به ٻين علامتن مان ماهواري جو چڪر ڄاڻي سگهجي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v68,34,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا حيض واري چڪر کي رت جي وهڪري کان سواءِ جسم جي نشانين کي استعمال ڪندي ٽريڪ ڪري سگهجي ٿو؟,جسم جون ڪهڙيون نشانيون ماهواري جي چڪر جو انداز ٻڌائين ٿيون؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v69,35,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا ڪيفين يا غذا حيض واري چڪر کي متاثر ڪري ٿو؟,چانهه يا ڪافي پيئڻ سان ماهواري تي اثر پوي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v70,35,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇا ڪيفين يا غذا حيض واري چڪر کي متاثر ڪري ٿو؟,کاڌي پيتي جو ماهواري سان ڪو تعلق آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v71,36,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇو ٿي سگهي ٿو ٻه ماڻهو ساڳئي چڪر جي ڊيگهه سان مختلف علامتون محسوس ڪن؟,هڪجهڙي ڊيگهه واري ماهواري هجڻ باوجود هر ڪنهن جون علامتون مختلف ڇو هونديون آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v72,36,حيض جي صحت ۽ مدت,سائيڪل جي بنياديات ۽ ڇا عام آهي,ڇو ٿي سگهي ٿو ٻه ماڻهو ساڳئي چڪر جي ڊيگهه سان مختلف علامتون محسوس ڪن؟,ٻن عورتن جي ماهواري جو وقت هڪجهڙو هجي ته به احساس مختلف ڇو ٿيندا آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v73,37,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,menarche ڇا آهي؟,پهرين ماهواري کي ڇا چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v74,37,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,menarche ڇا آهي؟,menarche جو مطلب ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v75,38,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,ڪهڙي عمر ۾ حيض عام طور تي ٿئي ٿو؟,عام طور ماهواري ڪهڙي عمر ۾ شروع ٿيندي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v76,38,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,ڪهڙي عمر ۾ حيض عام طور تي ٿئي ٿو؟,ڇوڪرين کي پهرين ماهواري عام طور ڪهڙي عمر ۾ اچي ٿي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v77,39,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,شروعاتي نشانيون ڇا آهن ته هڪ پهريون دور جلد اچي رهيو آهي؟,پهرين ماهواري اچڻ کان اڳ ڪهڙيون نشانيون ظاهر ٿينديون آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v78,39,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,شروعاتي نشانيون ڇا آهن ته هڪ پهريون دور جلد اچي رهيو آهي؟,ڪيئن خبر پوندي آهي ته پهرين ماهواري جلد اچڻ واري آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v79,40,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,ڇا اهو عام آهي ته عرصو پهرين يا ٻن سالن ۾ غير منظم هجي؟,شروع جي هڪ ٻن سالن ۾ ماهواري بي ترتيب هجي ته اهو عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v80,40,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,ڇا اهو عام آهي ته عرصو پهرين يا ٻن سالن ۾ غير منظم هجي؟,پهرين ماهواري کان پوءِ شروعاتي سالن ۾ بي قاعدگي معمول جي ڳالھ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v81,41,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,هڪ نوجوان ڇوڪري کي پنهنجي پهرين دور لاء ڪيئن تيار ڪيو وڃي؟,هڪ ڇوڪري کي پهرين ماهواري لاءِ ڪيئن تيار ڪجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v82,41,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,هڪ نوجوان ڇوڪري کي پنهنجي پهرين دور لاء ڪيئن تيار ڪيو وڃي؟,پهرين ماهواري کان اڳ ڇوڪري کي ڪهڙيون ڳالهيون ٻڌائجن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v83,42,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,ڇا حيض جي درد کان پوء پهرين ڪجهه سالن ۾ درد عام آهي؟,شروع جي سالن ۾ ماهواري دوران گھڻو درد ٿيڻ عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v84,42,حيض جي صحت ۽ مدت,حيض ۽ بلوغت,ڇا حيض جي درد کان پوء پهرين ڪجهه سالن ۾ درد عام آهي؟,پهرين ماهوارين ۾ پيٽ جو سور وڌيڪ ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
