id,rule,category,question_before,question_after,answer_before,answer_after,question_changed
129,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا رت جو رنگ ظاهر ڪري ٿو ته عرصو ڪيترو ڳرو آهي؟,ڇا رت جو رنگ ظاهر ڪري ٿو ته ماهواري ڪيترو ڳرو آهي؟,سڌي طرح نه - رنگ بنيادي طور تي ظاهر ڪري ٿو ته رت ڪيتري جلدي جسم مان نڪرندو آهي (تيز وهڪري لاءِ روشن ڳاڙهي، سست وهڪري لاءِ اونداهو)، بجاءِ ڪل رقم وڃائڻ جي.,سڌي طرح نه - رنگ بنيادي طور تي ظاهر ڪري ٿو ته رت ڪيتري جلدي جسم مان نڪرندو آهي (تيز وهڪري لاءِ روشن ڳاڙهي، سست وهڪري لاءِ اونداهو)، بجاءِ ڪل رقم وڃائڻ جي.,True
152,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو ضروري آهي ته جينياتي علائقي کي وڌيڪ عرصي دوران ڌوئڻ؟,ڇا اهو ضروري آهي ته جينياتي علائقي کي وڌيڪ ماهواري دوران ڌوئڻ؟,عام طور تي ڏينهن ۾ هڪ يا ٻه ڀيرا گرم پاڻي سان خارجي جينياتي علائقي کي ڌوئڻ ڪافي آهي. سخت صابن يا ڊچنگ ضروري نه آهن ۽ قدرتي توازن کي بگاڙي سگهن ٿا.,عام طور تي ڏينهن ۾ هڪ يا ٻه ڀيرا گرم پاڻي سان خارجي جينياتي علائقي کي ڌوئڻ ڪافي آهي. سخت صابن يا ڊچنگ ضروري نه آهن ۽ قدرتي توازن کي بگاڙي سگهن ٿا.,True
153,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا عرصو دوران خوشبودار شيون استعمال ڪرڻ گهرجن؟,ڇا ماهواري دوران خوشبودار شيون استعمال ڪرڻ گهرجن؟,خوشبودار پيڊ، وائپس، يا اسپري ضروري نه آهن ۽ ڪڏهن ڪڏهن جلن يا الرجڪ رد عمل جو سبب بڻجي سگهن ٿا؛ غير خوشبودار پروڊڪٽس عام طور تي حيض جي صفائي لاء سفارش ڪئي وئي آهي.,خوشبودار پيڊ، وائپس، يا اسپري ضروري نه آهن ۽ ڪڏهن ڪڏهن جلن يا الرجڪ رد عمل جو سبب بڻجي سگهن ٿا؛ غير خوشبودار پروڊڪٽس عام طور تي حيض جي صفائي لاء سفارش ڪئي وئي آهي.,True
174,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا هڪ عرصي دوران يا بعد ۾ ڊچنگ جي سفارش ڪئي وئي آهي؟,ڇا هڪ ماهواري دوران يا بعد ۾ ڊچنگ جي سفارش ڪئي وئي آهي؟,نه، ڊچنگ جي سفارش نه ڪئي وئي آهي، ڇاڪاڻ ته اهو قدرتي اندام جي توازن کي خراب ڪري سگهي ٿو ۽ انفيڪشن جو خطرو وڌائي سگهي ٿو. اندام خود صفائي آهي.,نه، ڊچنگ جي سفارش نه ڪئي وئي آهي، ڇاڪاڻ ته اهو قدرتي اندام جي توازن کي خراب ڪري سگهي ٿو ۽ انفيڪشن جو خطرو وڌائي سگهي ٿو. اندام خود صفائي آهي.,True
186,period -> ماهواري,حيض جي صحت ۽ مدت,ڪنهن کي دير جي مدت بابت پريشان ٿيڻ کان پهريان ڪيترو انتظار ڪرڻ گهرجي، فرض ڪيو حمل هڪ عنصر نه آهي؟,ڪنهن کي دير جي مدت بابت پريشان ٿيڻ کان پهريان ڪيترو انتظار ڪرڻ گهرجي، فرض ڪيو حمل هڪ عنصر نه آهي؟,جيڪڏهن هڪ عرصو هڪ هفتي کان وڌيڪ دير سان بغير ڪنهن واضح سبب جهڙوڪ دٻاء يا بيماري، ۽ اهو هڪ نمونو بڻجي وڃي، اهو مناسب آهي ته صحت جي سار سنڀار فراهم ڪندڙ سان چيڪ ڪريو.,جيڪڏهن هڪ ماهواري هڪ هفتي کان وڌيڪ دير سان بغير ڪنهن واضح سبب جهڙوڪ دٻاء يا بيماري، ۽ اهو هڪ نمونو بڻجي وڃي، اهو مناسب آهي ته صحت جي سار سنڀار فراهم ڪندڙ سان چيڪ ڪريو.,False
192,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا ڇڏڻ يا شروع ڪرڻ هارمونل برٿ ڪنٽرول عارضي بي ترتيبي سبب ٿي سگهي ٿو؟,ڇا ڇڏڻ يا شروع ڪرڻ هارمونل برٿ ڪنٽرول عارضي بي ترتيبي سبب ٿي سگهي ٿو؟,ها، عام طور تي جسم جي قدرتي چڪر کي هارمونل حملن جي روڪڻ کان پوءِ پاڻ کي ٻيهر قائم ڪرڻ ۾ ڪجهه مهينا لڳن ٿا، ۽ هن ترتيب واري عرصي دوران چڪر غير منظم ٿي سگهن ٿا.,ها، عام طور تي جسم جي قدرتي چڪر کي هارمونل حملن جي روڪڻ کان پوءِ پاڻ کي ٻيهر قائم ڪرڻ ۾ ڪجهه مهينا لڳن ٿا، ۽ هن ترتيب واري ماهواري دوران چڪر غير منظم ٿي سگهن ٿا.,False
204,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا دٻاءُ يا سفر کان هڪ اڪيلو مس ٿيل دور عام طور تي طبي تشخيص جي ضرورت آهي؟,ڇا دٻاءُ يا سفر کان هڪ اڪيلو مس ٿيل دور عام طور تي طبي تشخيص جي ضرورت آهي؟,عام طور تي نه، جيڪڏهن ڪو واضح سبب آهي ۽ ٻيو ڪو به علامتي علامات نه آهي؛ تنهن هوندي، جيڪڏهن عرصو ڪيترن ئي مهينن تائين غير منظم رهي ٿو، اهو صحت جي سار سنڀار فراهم ڪندڙ سان چيڪ ڪرڻ جي قابل آهي.,عام طور تي نه، جيڪڏهن ڪو واضح سبب آهي ۽ ٻيو ڪو به علامتي علامات نه آهي؛ تنهن هوندي، جيڪڏهن ماهواري ڪيترن ئي مهينن تائين غير منظم رهي ٿو، اهو صحت جي سار سنڀار فراهم ڪندڙ سان چيڪ ڪرڻ جي قابل آهي.,False
213,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا مذهبي عقيدن جي دوران روزو رکڻ چڪر جي وقت تي اثر انداز ٿئي ٿو؟,ڇا مذهبي عقيدن جي دوران روزو رکڻ چڪر جي وقت تي اثر انداز ٿئي ٿو؟,توسيع روزو رکڻ توانائي جي توازن ۽ هارمون جي ضابطي کي عارضي طور تي متاثر ڪري سگهي ٿو، ۽ ڪجهه ماڻهو روزو رکڻ واري عرصي دوران يا بعد ۾ چڪر جي وقت ۾ معمولي ڦيرڦار محسوس ڪن ٿا، جيڪي عام طور تي بعد ۾ حل ٿي ويندا آهن.,توسيع روزو رکڻ توانائي جي توازن ۽ هارمون جي ضابطي کي عارضي طور تي متاثر ڪري سگهي ٿو، ۽ ڪجهه ماڻهو روزو رکڻ واري ماهواري دوران يا بعد ۾ چڪر جي وقت ۾ معمولي ڦيرڦار محسوس ڪن ٿا، جيڪي عام طور تي بعد ۾ حل ٿي ويندا آهن.,False
214,period -> ماهواري,حيض جي صحت ۽ مدت,ڪو ماڻهو ڪيئن ٻڌائي سگهي ٿو ته عام چڪر جي فرق جي وچ ۾ فرق ۽ هڪ نمونو جيڪو طبي ڌيان جي ضرورت آهي؟,ڪو ماڻهو ڪيئن ٻڌائي سگهي ٿو ته عام چڪر جي فرق جي وچ ۾ فرق ۽ هڪ نمونو جيڪو طبي ڌيان جي ضرورت آهي؟,انگن جو هڪ مددگار قاعدو اهو آهي ته ڪڏهن ڪڏهن، وضاحتي شفٽون (جهڙوڪ هڪ دير واري عرصي کان پوء هڪ دٻاء واري هفتي کان پوء) عام طور تي عام آهن، جڏهن ته ڪيترن ئي مهينن تائين مسلسل نموني طبي جائزو جي ضمانت ڏئي ٿو.,انگن جو هڪ مددگار قاعدو اهو آهي ته ڪڏهن ڪڏهن، وضاحتي شفٽون (جهڙوڪ هڪ دير واري ماهواري کان پوء هڪ دٻاء واري هفتي کان پوء) عام طور تي عام آهن، جڏهن ته ڪيترن ئي مهينن تائين مسلسل نموني طبي جائزو جي ضمانت ڏئي ٿو.,False
217,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو سچ آهي ته ڪنهن دور ۾ ورزش ڪرڻ نقصانڪار آهي؟,ڇا اهو سچ آهي ته ڪنهن دور ۾ ورزش ڪرڻ نقصانڪار آهي؟,نه، هڪ عرصي دوران اعتدال پسند ورزش محفوظ آهي ۽ اصل ۾ درد کي رليف ڪرڻ ۽ موڊ کي بهتر ڪرڻ ۾ مدد ڪري سگهي ٿي. جسماني سرگرمي کان بچڻ لاء ڪو طبي سبب ناهي.,نه، هڪ ماهواري دوران اعتدال پسند ورزش محفوظ آهي ۽ اصل ۾ درد کي رليف ڪرڻ ۽ موڊ کي بهتر ڪرڻ ۾ مدد ڪري سگهي ٿي. جسماني سرگرمي کان بچڻ لاء ڪو طبي سبب ناهي.,False
218,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا عرصو ٿيڻ جو مطلب آهي ڪنهن کي مذهبي يا مقدس هنڌن ۾ داخل نه ٿيڻ گهرجي؟,ڇا ماهواري ٿيڻ جو مطلب آهي ڪنهن کي مذهبي يا مقدس هنڌن ۾ داخل نه ٿيڻ گهرجي؟,اهو هڪ ثقافتي يا مذهبي عمل آهي ڪجهه روايتن ۾ طبي ضرورت جي بجاءِ. حيض پاڻ کي ڪنهن به جاء تي صحت لاء خطرو نٿو ڪري.,اهو هڪ ثقافتي يا مذهبي عمل آهي ڪجهه روايتن ۾ طبي ضرورت جي بجاءِ. حيض پاڻ کي ڪنهن به جاء تي صحت لاء خطرو نٿو ڪري.,True
220,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا هڪ عرصي دوران ترڻ هڪ انفيڪشن سبب ٿي سگهي ٿو؟,ڇا هڪ ماهواري دوران ترڻ هڪ انفيڪشن سبب ٿي سگهي ٿو؟,نه، ڪنهن دور ۾ ترڻ، خاص طور تي ٽيمپون، پيڊ، يا پيالو رکڻ سان، محفوظ آهي ۽ پاڻ تي انفيڪشن جو خطرو نٿو وڌائي.,نه، ڪنهن دور ۾ ترڻ، خاص طور تي ٽيمپون، پيڊ، يا پيالو رکڻ سان، محفوظ آهي ۽ پاڻ تي انفيڪشن جو خطرو نٿو وڌائي.,True
221,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو صحيح آهي ته عرصو انهن عورتن جي وچ ۾ هم وقت ٿئي جيڪي گڏ رهن ٿيون؟,ڇا اهو صحيح آهي ته ماهواري انهن عورتن جي وچ ۾ هم وقت ٿئي جيڪي گڏ رهن ٿيون؟,گڏ رهندڙ ماڻهن جي وچ ۾ حيض جي هم وقت سازي جو خيال هڪ مشهور عقيدو آهي، پر سخت سائنسي اڀياس مسلسل ان کي حقيقي جسماني رجحان جي طور تي حمايت نه ڪئي آهي.,گڏ رهندڙ ماڻهن جي وچ ۾ حيض جي هم وقت سازي جو خيال هڪ مشهور عقيدو آهي، پر سخت سائنسي اڀياس مسلسل ان کي حقيقي جسماني رجحان جي طور تي حمايت نه ڪئي آهي.,True
222,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا ڪجهه کاڌو کائڻ جهڙوڪ ٿلهو يا ٿڌو کاڌو هڪ عرصو خراب ڪري ٿو؟,ڇا ڪجهه کاڌو کائڻ جهڙوڪ ٿلهو يا ٿڌو کاڌو هڪ ماهواري خراب ڪري ٿو؟,ڪو به مضبوط طبي ثبوت نه آهي ته مخصوص کاڌي جي قسمن جهڙوڪ ٿڌا يا ٿڌو کاڌو سڌو سنئون حيض جي علامات کي خراب ڪن ٿا. اهو گهڻو ڪري هڪ ثقافتي عقيدو آهي بلڪه هڪ قائم ڪيل حقيقت.,ڪو به مضبوط طبي ثبوت نه آهي ته مخصوص کاڌي جي قسمن جهڙوڪ ٿڌا يا ٿڌو کاڌو سڌو سنئون حيض جي علامات کي خراب ڪن ٿا. اهو گهڻو ڪري هڪ ثقافتي عقيدو آهي بلڪه هڪ قائم ڪيل حقيقت.,True
229,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا عرصو رت جي بوءِ ان ڪري آهي جو اهو ناپاڪ آهي؟,ڇا ماهواري رت جي بوءِ ان ڪري آهي جو اهو ناپاڪ آهي؟,نه، حيض جي رت جي نرمي خوشبوءِ ان جي چمڙي تي هوا ۽ عام بيڪٽيريا جي ظاهر ٿيڻ سان ايندي آهي، نه ته رت پاڻ گندو آهي.,نه، حيض جي رت جي نرمي خوشبوءِ ان جي چمڙي تي هوا ۽ عام بيڪٽيريا جي ظاهر ٿيڻ سان ايندي آهي، نه ته رت پاڻ گندو آهي.,True
237,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا هڪ عرصو هجڻ هڪ شخص جي صحيح فيصلا ڪرڻ جي صلاحيت کي متاثر ڪري ٿو؟,ڇا هڪ ماهواري هجڻ هڪ شخص جي صحيح فيصلا ڪرڻ جي صلاحيت کي متاثر ڪري ٿو؟,نه، ڪو به ثبوت نه آهي ته حيض فيصلو يا فيصلو ڪرڻ جي صلاحيت کي متاثر ڪري ٿو؛ هي هڪ طبي حقيقت جي ڀيٽ ۾ هڪ نقصانڪار اسٽريٽائپائپ آهي.,نه، ڪو به ثبوت نه آهي ته حيض فيصلو يا فيصلو ڪرڻ جي صلاحيت کي متاثر ڪري ٿو؛ هي هڪ طبي حقيقت جي ڀيٽ ۾ هڪ نقصانڪار اسٽريٽائپائپ آهي.,True
238,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا ڇوڪرن ۽ مردن کي دورن بابت صحيح معلومات سکڻ مان فائدو حاصل ٿي سگھي ٿو؟,ڇا ڇوڪرن ۽ مردن کي دورن بابت صحيح معلومات سکڻ مان فائدو حاصل ٿي سگھي ٿو؟,ها، ڇوڪرن ۽ مردن کي تعليم ڏيڻ سان ڇڪتاڻ ۽ بدنامي کي گهٽائڻ ۾ مدد ملندي آهي، وڌيڪ مددگار گهرن ۽ ڪم ڪار جي جڳهن کي تعمير ڪرڻ ۾ مدد ملندي آهي، ۽ انهن افسانن کي چيلينج ڪندي آهي جيڪي عرصي سان لاڳاپيل تبعيض ۾ حصو وٺندا آهن.,ها، ڇوڪرن ۽ مردن کي تعليم ڏيڻ سان ڇڪتاڻ ۽ بدنامي کي گهٽائڻ ۾ مدد ملندي آهي، وڌيڪ مددگار گهرن ۽ ڪم ڪار جي جڳهن کي تعمير ڪرڻ ۾ مدد ملندي آهي، ۽ انهن افسانن کي چيلينج ڪندي آهي جيڪي ماهواري سان لاڳاپيل تبعيض ۾ حصو وٺندا آهن.,False
245,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا عرصو سان لاڳاپيل ممنوع علائقن ۾ گهٽ حيض جي صحت جي تعليم سان وڌيڪ عام آهن؟,ڇا ماهواري سان لاڳاپيل ممنوع علائقن ۾ گهٽ حيض جي صحت جي تعليم سان وڌيڪ عام آهن؟,عام طور تي ها، ممنوع ۽ غلط معلومات وڌيڪ جڙيل هونديون آهن جتي منظم حيض جي صحت جي تعليم محدود هوندي آهي، جنهن جو حصو آهي ڇو ته عالمي صحت ادارن تعليم جي رسائي کي ترجيح ڏين ٿا.,عام طور تي ها، ممنوع ۽ غلط معلومات وڌيڪ جڙيل هونديون آهن جتي منظم حيض جي صحت جي تعليم محدود هوندي آهي، جنهن جو حصو آهي ڇو ته عالمي صحت ادارن تعليم جي رسائي کي ترجيح ڏين ٿا.,True
249,period -> ماهواري,حيض جي صحت ۽ مدت,ڇا اهو سچ آهي ته هڪ حيض واري شخص کي زور سان ورزش يا راندين کي راند نه ڪرڻ گهرجي؟,ڇا اهو سچ آهي ته هڪ حيض واري شخص کي زور سان ورزش يا راندين کي راند نه ڪرڻ گهرجي؟,نه، ڪو به طبي سبب ناهي ته ڪنهن عرصي دوران زوردار ورزش يا راندين کان پاسو ڪيو وڃي. حقيقت ۾، سرگرم رهڻ دردن کي آسان ڪرڻ ۽ مجموعي مزاج کي بهتر بنائڻ ۾ مدد ڪري سگهي ٿي.,نه، ڪو به طبي سبب ناهي ته ڪنهن ماهواري دوران زوردار ورزش يا راندين کان پاسو ڪيو وڃي. حقيقت ۾، سرگرم رهڻ دردن کي آسان ڪرڻ ۽ مجموعي مزاج کي بهتر بنائڻ ۾ مدد ڪري سگهي ٿي.,False
265,period -> ماهواري,ذهني صحت ۽ جذباتي ڀلائي,ڪو ڪيئن ٻڌائي سگهي ٿو ته انهن جي دٻاء جي سطح غير صحتمند ٿي رهي آهي؟,ڪو ڪيئن ٻڌائي سگهي ٿو ته انهن جي دٻاء جي سطح غير صحتمند ٿي رهي آهي؟,نشانيون جيڪي دٻاءُ غير صحتمند ٿي رهيون آهن انهن ۾ شامل آهن ننڊ جا مسئلا، توجه ڏيڻ ۾ مشڪلات، چڙهائي، جسماني علامات، يا وڌايل عرصي دوران روزاني ذميوارين کي منهن ڏيڻ ۾ ناڪامي محسوس ڪرڻ.,نشانيون جيڪي دٻاءُ غير صحتمند ٿي رهيون آهن انهن ۾ شامل آهن ننڊ جا مسئلا، توجه ڏيڻ ۾ مشڪلات، چڙهائي، جسماني علامات، يا وڌايل ماهواري دوران روزاني ذميوارين کي منهن ڏيڻ ۾ ناڪامي محسوس ڪرڻ.,False
311,period -> ماهواري,ذهني صحت ۽ جذباتي ڀلائي,ڇا اهو معمول آهي ته موڊ ۾ ڊپ محسوس ٿيڻ کان پوء جوش يا وڏي واقعي جي ختم ٿيڻ کان پوء؟,ڇا اهو معمول آهي ته موڊ ۾ ڊپ محسوس ٿيڻ کان پوء جوش يا وڏي واقعي جي ختم ٿيڻ کان پوء؟,ها، هي عام تجربو، ڪڏهن ڪڏهن پوسٽ-ايونٽ سلمپ سڏيو ويندو آهي، اوچائي جذبات يا سرگرمي جي عرصي کان پوء هڪ قدرتي ترتيب کي ظاهر ڪري ٿو.,ها، هي عام تجربو، ڪڏهن ڪڏهن پوسٽ-ايونٽ سلمپ سڏيو ويندو آهي، اوچائي جذبات يا سرگرمي جي ماهواري کان پوء هڪ قدرتي ترتيب کي ظاهر ڪري ٿو.,False
