review_id,source_id,category_english,sub_category_english,question_english,answer_english,source,clinical_accuracy,safety_check,escalation_check,decision,reviewer,reviewer_credentials,review_notes,suggested_fix,review_date
R034,740,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,What is pre-eclampsia?,"It is a blood pressure problem that develops after twenty weeks and can be dangerous for both mother and baby. It affects three to eight women out of every hundred who give birth. Some women have no symptoms at all, which is why checkups are important.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,"Preeclampsia is serious disease related to high Blood pressure. It can happen after 20weeks of pregnancy. It can cause other organ damage . Warning signs are nausea vomiting , vision disturbances, breathing issue , swelling hands and feet ,severe headache.
It can be dangerous for both mother and baby. ",23/09/2026
R035,741,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,Can I have pre-eclampsia without feeling anything?,"Yes, some women have no symptoms at all, which is why blood pressure and urine are checked at every visit. Don't assume you're safe just because you feel fine. Keep going to your checkups.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R036,742,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,Who is more likely to get pre-eclampsia?,"It is more likely in first pregnancies, in women carrying twins or more, and in those who have obesity, pre-existing high blood pressure, diabetes, kidney disease, or a family history of it. If any of these apply to you, tell your health worker early on. You may need closer monitoring.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R037,743,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,Can pre-eclampsia be prevented?,"Regular antenatal care that includes blood pressure and urine checks is the most important prevention, because it catches it early. For higher-risk women, doctors may advise preventive treatment. Talk to your health worker about your risk.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R038,744,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,How dangerous are blood pressure problems in pregnancy?,"Blood pressure disorders cause roughly sixteen out of every hundred maternal deaths, and are among the leading causes of death in pregnancy. That's why blood pressure is checked at every visit. If you have a severe headache, blurred vision, upper abdominal pain, or swelling of the hands and face, go to a health center or hospital now.",https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R039,745,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I am bleeding heavily after giving birth. What should I do?,Severe bleeding after birth is a leading cause of maternal death and is an emergency. Go to the hospital immediately. Don't wait to see whether it decreases.,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Partially accurate,Safe,N/A,Fix,Dr Arshia,FCPS,Reviewer marked Fix — see suggested_fix for corrected wording.,"Severe bleeding after birth is called Postpartum haemorrhage, a medical emergency that required immediate care. It is leading cause of maternal Death . Go to the hospital immediately. Don't wait to see whether it decreases.",23/09/2026
R040,746,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,I have fever and foul-smelling discharge after giving birth. Is this serious?,"Yes, this can be a postpartum infection, which is among the leading causes of maternal death. Go to a health center or hospital now. Don't treat it at home.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R041,747,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,Can dangerous problems happen even weeks after giving birth?,"Yes. Many maternal and infant deaths occur in the first days after birth. Severe bleeding, fever, severe headache, blurred vision, seizures, and shortness of breath all need immediate care even after birth. Make sure you attend all your postnatal checkups.",https://www.who.int/news/item/30-03-2022-who-urges-quality-care-for-women-and-newborns-in-critical-first-weeks-after-childbirth,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R042,748,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,"If I notice a danger sign, how quickly do I need to act?","Immediately. Somewhere in the world, a mother dies roughly every two minutes, and delay in reaching care is a major cause. Don't wait for morning, for transport to become easier, or for permission. Go now, and take someone with you.",https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R043,749,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,What danger signs should I watch for in my newborn?,"Difficulty breathing, difficulty feeding or refusing to feed, fever, or the baby becoming cold, limp, or unusually quiet. Recognizing these is part of postnatal care. If any of these appear, take the baby to a health center immediately.",https://www.who.int/news/item/30-03-2022-who-urges-quality-care-for-women-and-newborns-in-critical-first-weeks-after-childbirth,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
R044,2002,Pregnancy & Maternal Health,Pregnancy & Postpartum Danger Signs,What should be done if there is fever during pregnancy?,"A fever of 100.4°F (38°C) or higher in pregnancy is a danger sign. Do not take medicine at home on your own; go to a health center or hospital promptly. While getting there, drink more water, rest, and wear light clothing. If the fever is accompanied by pain, discharge, or reduced baby movement, it can be more serious.",CDC - Urgent Maternal Warning Signs - https://www.cdc.gov/hearher/pregnant-postpartum-women/index.html,Accurate,Safe,Escalation correct / present,Approve,Dr Arshia,FCPS,Reviewed and approved as-is.,,23/09/2026
