review_id,source_id,category,sub_category,sindhi_question,current_answer,source,clinical_accuracy,safety_check,escalation_check,decision,reviewer,reviewer_credentials,review_notes,suggested_fix,review_date
R013,922,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,پي سي او ايس کان علاوه ٻيون ڪهڙيون حالتون ماهواري کي بگاڙي سگهن ٿيون؟,اينڊوميٽرائيوسس، ايڊينوميائوسس، فائبرائيڊز، رت وهڻ جون بيماريون، ماهواري کان اڳ واريون حالتون، ۽ بيضه دان جي جلدي ڪم بند ٿيڻ سڀ سڃاتل سبب آهن۔ ٿائرائيڊ جا مسئلا به خيال ۾ رکيا ويندا آهن۔ اهو ئي سبب آهي جو هڪ مناسب جانچ اهم آهي۔,https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Pending,Pending,Pending,Pending,,,,,
R014,923,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,بيضه دان جو جلدي ڪم بند ٿيڻ ڇا آهي؟,اها هڪ حالت آهي جنهن ۾ بيضه دان اميد کان اڳ ئي ڪم ڪرڻ بند ڪري ڏين ٿا، ۽ اها ماهواري جي مسئلن جي سڃاتل سببن مان هڪ آهي۔ ان کي طبي جانچ جي ضرورت آهي۔ اهو نه سمجهو ته غائب ماهواري هميشه پي سي او ايس آهي۔,https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Pending,Pending,Pending,Pending,,,,,
R015,924,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,فائبرائيڊز (Fibroids) ڇا آهن؟,اهي ٻچيدان ۾ ٿيندڙ واڌ آهن ۽ مسئلن واري ماهواري سان لاڳاپيل سڃاتل حالتن مان هڪ آهن۔ اهي گھڻي يا سور واري رت وهڻ جو سبب بڻجي سگهن ٿيون۔ هڪ ڊاڪٽر جائزو وٺي سگهي ٿو ته ڇا اهي ان جو سبب آهن۔,https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Pending,Pending,Pending,Pending,,,,,
R016,925,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,اينڊوميٽرائيوسس (Endometriosis) ڇا آهي؟,اها ڏکي ۽ سور واري ماهواري جي سبب طور سڃاتل هڪ حالت آهي۔ ان جي تشخيص لاءِ طبي جانچ گھربل آهي۔ جيڪڏهن توهان جو ماهواري وارو سور سخت هجي يا وڌي رهيو هجي ته ان لاءِ جانچ ٿيڻ لاءِ چئو۔,https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Pending,Pending,Pending,Pending,,,,,
R017,926,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا رت وهڻ جي بيماري گھڻي ماهواري جو سبب بڻجي سگهي ٿي؟,ها، رت وهڻ جون بيماريون مسئلن واري ماهواري جي رت وهڻ جي سڃاتل سببن مان آهن۔ انهن جي تشخيص خوني ٽيسٽن سان ٿيندي آهي۔ ڪا به آسانيءَ سان ڪَسِڻ يا ٻي هنڌان رت اچڻ پنهنجي ڊاڪٽر کي ٻڌايو۔,https://www.who.int/news-room/fact-sheets/detail/menstrual-health,Pending,Pending,Pending,Pending,,,,,
R018,927,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا مون کي هارموني مسئلن لاءِ ڪنهن ماهر وٽ وڃڻ جي ضرورت آهي؟,پنهنجي ويجھي صحت مرڪز يا عام ڊاڪٽر کان شروع ڪريو، جيڪو ابتدائي ٽيسٽ ڪري سگهي ٿو ۽ ضرورت پوڻ تي اڳتي موڪلي سگهي ٿو۔ انهن حالتن جي سنڀال عام خدمتن کان شروع ٿيڻ گھرجي۔ توهان کي پاڻ ڪو ماهر ڳولڻ جي ضرورت ناهي۔,https://academic.oup.com/jcem/article/108/10/2447/7242360,Pending,Pending,Pending,Pending,,,,,
R019,928,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا هارموني مسئلن جو علاج ٿي سگهي ٿو؟,ها، صحيح طور تي سڃاڻڻ کانپوءِ گھڻيون هارموني حالتون سٺي طرح قابو ۾ رکي سگهجن ٿيون۔ ڏکيائي عام طور تي تشخيص ۾ هوندي آهي، علاج ۾ نه۔ اهو ئي سبب آهي جو جانچ اهم آهي۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
R020,929,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,ڇا مون کي ڪنهن جي صلاح ڏنل هارموني دوا کائڻ گھرجي؟,نه۔ ٽيسٽن کانپوءِ ڊاڪٽر جي لکيل تجويز کان سواءِ ڪڏهن به هارموني دوائون نه کائو۔ ساڳيون نشانيون بلڪل مخالف هارموني مسئلن کان به اچي سگهن ٿيون، تنهنڪري غلط علاج نقصان پهچائي سگهي ٿو۔ پهريان ٽيسٽ ڪرايو۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
R021,930,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,هارموني حالتون ڪيتري عرصي رهنديون آهن؟,گھڻيون ڊگھي مهل جون حالتون آهن جن کي هڪ ڀيري جي علاج بدران مسلسل سنڀال جي ضرورت آهي۔ باقاعده فالو اپ سنڀال جو حصو آهي۔ توهان ٺيڪ محسوس ڪريو ته به پنهنجيون ملاقاتون رکو۔,https://www.who.int/news-room/fact-sheets/detail/polycystic-ovary-syndrome,Pending,Pending,Pending,Pending,,,,,
R022,931,پي سي او ايس ۽ هارموني صحت,ٿائرائيڊ ۽ ٻيا هارموني عدم توازن,مون کي پنهنجن هارموني نشانين بابت ڊاڪٽر کي ڇا ٻڌائڻ گھرجي؟,پنهنجي ماهواري جو نمونو، ۽ وزن، وارن، چمڙي، توانائي يا مزاج ۾ ڪا به تبديلي بيان ڪريو، هر هڪ ڪڏهن شروع ٿي ان سميت۔ پنهنجي چڪر جي تاريخن جو رڪارڊ ساڻ کڻي وڃو۔ مڪمل تصوير ئي کين صحيح طرح جانچڻ جي قابل بڻائي ٿي۔,https://academic.oup.com/jcem/article/108/10/2447/7242360,Pending,Pending,Pending,Pending,,,,,
R023,2020,پي سي او ايس ۽ هارموني صحت,"طرز زندگي جي سنڀال (recategorized 2026-09-17, was: ٿائرائيڊ ۽ ٻيا هارموني عدم توازن)",نوجوان ڇوڪرين ۾ PCOS جو علاج بالغن کان ڪيئن مختلف ٿئي ٿو؟,نوجوان ڇوڪرين ۾ عام طور تي پهرين قدم طور زندگي جون تبديليون (متوازن غذا ۽ سرگرمي) ۽ ماهواري باقاعده ڪرڻ لاءِ هارمون جون گوريون تجويز ڪيون وينديون آهن، جڏهن ته انسولين مزاحمت يا فرٽيلٽي دوائون عام طور تي بعد ۾ استعمال ٿينديون آهن جڏهن ضرورت هجي۔ تشخيص به وڌيڪ محتاط طريقي سان ڪئي ويندي آهي ڇو ته شروعاتي سالن ۾ چڪر بي قاعده هجڻ عام آهي۔,Mayo Clinic - PCOS diagnosis & treatment - https://www.mayoclinic.org/diseases-conditions/polycystic-ovary-syndrome/diagnosis-treatment/drc-20353446,N/A,N/A,N/A,N/A - Removed from this packet,,,"Miscategorized under Thyroid; content is PCOS treatment-by-age. Recategorized to Lifestyle management in the KB, removed from the 43-item review count. Kept as a row here for traceability, not a live review item.",,
R024,730,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,حمل ۾ اهي ڪهڙيون خطري جون نشانيون آهن جن جو مطلب آهي ته مون کي فوراً مدد وٺڻ گھرجي؟,رت اچڻ، سخت مٿي جو سور، نظر ڌنڌلي ٿيڻ، پيٽ ۾ سخت سور، هٿن ۽ منهن جي سوڄ، بخار، ساهه کڄڻ، دورا، ٻار جي حرڪت گھٽجڻ، يا بدبودار رطوبت۔ انهن مان ڪا به هجي ته ان جو مطلب آهي هاڻي صحت مرڪز يا اسپتال وڃو۔ پاڻ سان ڪنهن کي وٺي وڃو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
R025,731,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,مون کي حمل ۾ رت وهي رهيو آهي۔ مون کي ڇا ڪرڻ گھرجي؟,حمل ۾ رت اچڻ اهڙي شيءِ ناهي جنهن جو انتظار ڪجي۔ هاڻي ويجھي صحت مرڪز يا اسپتال وڃو، ۽ پاڻ سان ڪنهن کي وٺي وڃو۔ اهو بند ٿئي ٿو يا نه اهو ڏسڻ لاءِ انتظار نه ڪريو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
R026,732,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,مون کي سخت مٿي جو سور آهي ۽ منهنجي نظر ڌنڌلي آهي۔ ڇا اهو سنگين آهي؟,ها، نظر ڌنڌلي ٿيڻ يا اکين اڳيان دنبا نظر اچڻ سان گڏ سخت مٿي جو سور حمل ۾ بلڊ پريشر جي هڪ خطرناڪ مسئلي جي نشاني ٿي سگهي ٿي۔ هاڻي صحت مرڪز يا اسپتال وڃو۔ پنهنجي ايندڙ معائني تائين انتظار نه ڪريو۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R027,733,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,منهنجا هٿ ۽ منهن سُڄي ويا آهن۔ ڇا مون کي پريشان ٿيڻ گھرجي؟,هٿن ۽ منهن جي سوڄ حمل ۾ بلڊ پريشر جي هڪ سنگين مسئلي جي نشاني ٿي سگهي ٿي۔ مهرباني ڪري هاڻي صحت مرڪز يا اسپتال وڃو، ڪنهن جي ساٿ سان۔ اها ڳِـٽن جي هلڪي سوڄ جهڙي ناهي۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R028,734,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,منهنجي مٿئين پيٽ ۾ سخت سور آهي۔ ان جو ڇا مطلب آهي؟,حمل ۾ مٿئين پيٽ جو سور بلڊ پريشر جي مسئلي جي هڪ چتاءُ ڏيندڙ نشاني ٿي سگهي ٿو ۽ ان کي فوري ڇنڊڇاڻ جي ضرورت آهي۔ هاڻي صحت مرڪز يا اسپتال وڃو۔ پاڻ سان ڪنهن کي وٺي وڃو۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R029,735,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,مون کي حامله هوندي بخار آهي۔ ڇا مون کي گھر ۾ ان جو علاج ڪرڻ گھرجي؟,نه۔ حمل ۾ بخار هڪ خطري جي نشاني آهي ۽ ان کي صحت مرڪز تي ڏسڻ جي ضرورت آهي۔ گھر ۾ ان جو علاج نه ڪريو يا پاڻ مرادو دوا نه وٺو۔ هاڻي وڃو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
R030,736,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,ٻار جي حرڪت بند ٿي وئي آهي يا گھڻو گھٽجي وئي آهي۔ مون کي ڇا ڪرڻ گھرجي؟,حرڪت جو گھٽجڻ يا بند ٿيڻ هڪ خطري جي نشاني آهي جنهن کي فوري ڌيان جي ضرورت آهي۔ حرڪت واپس اچي ٿي يا نه اهو ڏسڻ جو انتظار ڪرڻ کان سواءِ هاڻي صحت مرڪز يا اسپتال وڃو۔ پاڻ سان ڪنهن کي وٺي وڃو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
R031,737,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,مون کي ساهه کڻڻ ۾ ڏکيائي ٿي رهي آهي۔ ڇا حمل ۾ اهو ايمرجنسي آهي؟,حمل ۾ ساهه کڄڻ هڪ خطري جي نشاني آهي۔ فوراً صحت مرڪز يا اسپتال وڃو۔ جيڪڏهن ٿي سگهي ته اڪيلي انتظار نه ڪريو يا اڪيلا سفر نه ڪريو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
R032,738,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,حامله هوندي مون کي دورو پيو يا آءٌ بيهوش ٿي وئيس۔ منهنجي خاندان کي ڇا ڪرڻ گھرجي؟,حمل ۾ دورا يا بيهوش ٿيڻ هڪ ايمرجنسي آهي ۽ جان جو خطرو ٿي سگهي ٿو۔ عورت کي فوراً اسپتال وٺي وڃو۔ رستي ۾ ڪا به گھريلو علاج نه ڪريو۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R033,739,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,ايڪلمپسيا (Eclampsia) ڇا آهي؟,اهو حمل جي بلڊ پريشر مسئلي جو سخت روپ آهي، جنهن ۾ دورا پون ٿا، ۽ اهو جان جي خطري وارو آهي۔ ان کي ايمرجنسي اسپتال جي علاج جي ضرورت آهي۔ حمل ۾ ڪنهن به دوري کي ايمرجنسي سمجهي علاج ڪجي۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R034,740,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,پري-ايڪلمپسيا (Pre-eclampsia) ڇا آهي؟,اهو بلڊ پريشر جو مسئلو آهي جيڪو ويهن هفتن کانپوءِ پيدا ٿئي ٿو ۽ ماءُ ۽ ٻار ٻنهي لاءِ خطرناڪ ٿي سگهي ٿو۔ اهو ڄڻندڙ هر سؤ عورتن مان ٽي کان اَٺَ عورتن کي متاثر ڪري ٿو۔ ڪجهه عورتن کي بلڪل به نشاني نه هوندي آهي، اهو ئي سبب آهي جو معائنا اهم آهن۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R035,741,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,ڇا مون کي ڪجهه به محسوس ڪرڻ کان سواءِ پري-ايڪلمپسيا ٿي سگهي ٿو؟,ها، ڪجهه عورتن کي بلڪل به نشاني نه هوندي آهي، اهو ئي سبب آهي جو هر ملاقات تي بلڊ پريشر ۽ پيشاب چيڪ ڪيو ويندو آهي۔ ٺيڪ محسوس ٿيڻ ڪري پاڻ کي محفوظ نه سمجهو۔ پنهنجا معائنا جاري رکو۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R036,742,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,پري-ايڪلمپسيا ٿيڻ جو امڪان ڪنهن کي وڌيڪ آهي؟,اهو پهرين حملن ۾، جاڙا يا وڌيڪ ٻار کڻندڙ عورتن ۾، ۽ انهن ۾ جن کي موٽاپو، اڳ ۾ موجود بلند بلڊ پريشر، ذیابيطس، گردن جي بيماري، يا خاندان ۾ ان جي تاريخ هجي، وڌيڪ امڪان رکي ٿو۔ جيڪڏهن انهن مان ڪا به توهان تي لاڳو ٿئي ته شروعات ۾ ئي پنهنجي صحت ڪارڪن کي ٻڌايو۔ توهان کي وڌيڪ ويجھي نظر رکڻ جي ضرورت پئجي سگهي ٿي۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R037,743,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,ڇا پري-ايڪلمپسيا کان بچاءُ ٿي سگهي ٿو؟,باقاعده حمل دوران سنڀال جنهن ۾ بلڊ پريشر ۽ پيشاب جون چڪاسون شامل هجن، سڀ کان اهم بچاءُ آهي، ڇاڪاڻ ته اهي ان کي شروعات ۾ ئي پڪڙين ٿيون۔ وڌيڪ خطري واري عورتن لاءِ ڊاڪٽر بچاءَ وارو علاج صلاح ڏئي سگهن ٿا۔ پنهنجي صحت ڪارڪن سان پنهنجي خطري بابت ڳالهايو۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R038,744,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,حمل ۾ بلڊ پريشر جا مسئلا ڪيترا خطرناڪ آهن؟,بلڊ پريشر جون بيماريون هر سؤ ماءُ جي موتين مان لڳ ڀڳ سورهن جو سبب بڻجن ٿيون، جيڪي حمل ۾ موت جي بنيادي سببن مان آهن۔ اهو ئي سبب آهي جو هر ملاقات تي بلڊ پريشر چيڪ ڪيو ويندو آهي۔ جيڪڏهن توهان کي سخت مٿي جو سور، نظر ڌنڌلي ٿيڻ، مٿئين پيٽ جو سور يا هٿن ۽ منهن جي سوڄ هجي ته هاڻي صحت مرڪز يا اسپتال وڃو۔,https://www.who.int/news-room/fact-sheets/detail/pre-eclampsia,Pending,Pending,Pending,Pending,,,,,
R039,745,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,ڄمڻ کانپوءِ مون کي گھڻو رت وهي رهيو آهي۔ مون کي ڇا ڪرڻ گھرجي؟,ڄمڻ کانپوءِ سخت رت وهڻ ماءُ جي موت جو هڪ بنيادي سبب آهي ۽ اها ايمرجنسي آهي۔ فوراً اسپتال وٺي وڃو۔ اهو گھٽ ٿئي ٿو يا نه اهو ڏسڻ لاءِ انتظار نه ڪريو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
R040,746,حمل ۽ ماءُ جي صحت,حمل ۽ زچگي کانپوءِ خطري جون نشانيون,ٻار ڄمڻ کانپوءِ مون کي بخار ۽ بدبودار رطوبت آهي۔ ڇا اهو سنگين آهي؟,ها، اهو ڄمڻ کانپوءِ انفيڪشن ٿي سگهي ٿو، جيڪو ماءُ جي موت جي بنيادي سببن مان هڪ آهي۔ هاڻي صحت مرڪز يا اسپتال وڃو۔ گھر ۾ ان جو علاج نه ڪريو۔,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality,Pending,Pending,Pending,Pending,,,,,
